Year,Sex,Medal_Count
1896,M,143
1900,F,13
1900,M,591
1904,F,10
1904,M,476
1906,F,6
1906,M,452
1908,F,16
1908,M,815
1912,F,30
1912,M,911
1920,F,44
1920,M,1264
1924,F,52
1924,M,910
1928,F,103
1928,M,720
1932,F,68
1932,M,671
1936,F,97
1936,M,928
1948,F,116
1948,M,871
1952,F,158
1952,M,875
1956,F,171
1956,M,872
1960,F,195
1960,M,863
1964,F,246
1964,M,969
1968,F,261
1968,M,995
1972,F,295
1972,M,1119
1976,F,440
1976,M,1091
1980,F,485
1980,M,1117
1984,F,548
1984,M,1150
1988,F,617
1988,M,1228
1992,F,691
1992,M,1339
1994,F,108
1994,M,223
1996,F,764
1996,M,1078
1998,F,189
1998,M,251
2000,F,880
2000,M,1124
2002,F,208
2002,M,270
2004,F,898
2004,M,1103
2006,F,231
2006,M,295
2008,F,932
2008,M,1116
2010,F,229
2010,M,291
2012,F,918
2012,M,1023
2014,F,265
2014,M,332
2016,F,969
2016,M,1054
